"filename", "language", "HTML", "JavaScript", "PostCSS", "C#", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\AuthController.cs", "C#", 0, 0, 0, 2, 40, 10, 52
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\EnumsController.cs", "C#", 0, 0, 0, 13, 52, 9, 74
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\GroupController.cs", "C#", 0, 0, 0, -4, 114, 5, 115
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\PinController.cs", "C#", 0, 0, 0, -2, 94, 4, 96
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\RatingsController.cs", "C#", 0, 0, 0, -1, 43, 0, 42
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\ReportController.cs", "C#", 0, 0, 0, 0, 85, 1, 86
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\StatsController.cs", "C#", 0, 0, 0, 0, 78, -1, 77
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserAccountController.cs", "C#", 0, 0, 0, 3, 31, 8, 42
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserController.cs", "C#", 0, 0, 0, 0, 116, -31, 85
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserProfileController.cs", "C#", 0, 0, 0, 0, 52, 4, 56
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserSecurityController.cs", "C#", 0, 0, 0, 1, 54, -2, 53
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\AppUser.cs", "C#", 0, 0, 0, 0, 53, 6, 59
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\CatchPin.cs", "C#", 0, 0, 0, 0, 17, -1, 16
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Comment.cs", "C#", 0, 0, 0, 0, 26, 0, 26
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Friendship.cs", "C#", 0, 0, 0, 0, 28, 0, 28
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Group.cs", "C#", 0, 0, 0, 0, 35, 2, 37
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\GroupInvite.cs", "C#", 0, 0, 0, 0, 31, 1, 32
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\GroupPin.cs", "C#", 0, 0, 0, 0, 17, -1, 16
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\GroupUser.cs", "C#", 0, 0, 0, 0, 27, 0, 27
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\InfoPin.cs", "C#", 0, 0, 0, 0, 13, -2, 11
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Pin.cs", "C#", 0, 0, 0, 0, 62, -1, 61
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Rating.cs", "C#", 0, 0, 0, 0, 23, -1, 22
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Report.cs", "C#", 0, 0, 0, 0, 79, 2, 81
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\RequestLogs.cs", "C#", 0, 0, 0, 0, 19, 1, 20
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\UserProfile.cs", "C#", 0, 0, 0, 0, 46, -1, 45
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Vote.cs", "C#", 0, 0, 0, 0, 25, 1, 26
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\WarnPin.cs", "C#", 0, 0, 0, 0, 11, -1, 10
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushAS3.js", "JavaScript", 0, 26, 0, 0, 30, 6, 62
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushBash.js", "JavaScript", 0, 34, 0, 0, 29, 4, 67
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushCSharp.js", "JavaScript", 0, 33, 0, 0, 30, 9, 72
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushColdFusion.js", "JavaScript", 0, 66, 0, 0, 31, 5, 102
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushCpp.js", "JavaScript", 0, 65, 0, 0, 31, 7, 103
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushCss.js", "JavaScript", 0, 57, 0, 0, 29, 8, 94
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushDelphi.js", "JavaScript", 0, 26, 0, 0, 29, 3, 58
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushDiff.js", "JavaScript", 0, 13, 0, 0, 29, 2, 44
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushErlang.js", "JavaScript", 0, 18, 0, 0, 33, 4, 55
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushFSharp.js", "JavaScript", 0, 59, 0, 0, 43, 12, 114
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushGroovy.js", "JavaScript", 0, 34, 0, 0, 31, 5, 70
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushJScript.js", "JavaScript", 0, 24, 0, 0, 30, 6, 60
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushJava.js", "JavaScript", 0, 27, 0, 0, 29, 4, 60
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushJavaFX.js", "JavaScript", 0, 26, 0, 0, 31, 4, 61
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushPerl.js", "JavaScript", 0, 39, 0, 0, 30, 5, 74
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushPhp.js", "JavaScript", 0, 57, 0, 0, 29, 6, 92
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushPlain.js", "JavaScript", 0, 5, 0, 0, 29, 2, 36
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushPowerShell.js", "JavaScript", 0, 42, 0, 0, 31, 4, 77
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushPython.js", "JavaScript", 0, 30, 0, 0, 30, 7, 67
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushRuby.js", "JavaScript", 0, 22, 0, 0, 30, 6, 58
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushScala.js", "JavaScript", 0, 19, 0, 0, 30, 5, 54
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushSql.js", "JavaScript", 0, 34, 0, 0, 29, 6, 69
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushVb.js", "JavaScript", 0, 27, 0, 0, 30, 6, 63
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shBrushXml.js", "JavaScript", 0, 36, 0, 0, 29, 7, 72
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shCore.js", "JavaScript", 0, 1, 0, 0, 29, 1, 31
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shCore_helixoft.js", "JavaScript", 0, 1240, 0, 0, 535, 311, 2086
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\scripts\shLegacy.js", "JavaScript", 0, 1, 0, 0, 29, 1, 31
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\src\shCore.js", "JavaScript", 0, 1241, 0, 0, 528, 309, 2078
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\src\shCore_helixoft.js", "JavaScript", 0, 1240, 0, 0, 535, 311, 2086
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\src\shLegacy.js", "JavaScript", 0, 118, 0, 0, 30, 25, 173
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shCore.css", "PostCSS", 0, 0, 244, 0, 39, 48, 331
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeDefault.css", "PostCSS", 0, 0, 106, 0, 43, 25, 174
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeDjango.css", "PostCSS", 0, 0, 107, 0, 44, 26, 177
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeEclipse.css", "PostCSS", 0, 0, 119, 0, 43, 28, 190
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeEmacs.css", "PostCSS", 0, 0, 105, 0, 45, 26, 176
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeFadeToGrey.css", "PostCSS", 0, 0, 107, 0, 45, 26, 178
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeMidnight.css", "PostCSS", 0, 0, 105, 0, 45, 26, 176
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeMsdnLW.css", "PostCSS", 0, 0, 134, 0, 44, 32, 210
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeRDark.css", "PostCSS", 0, 0, 105, 0, 45, 26, 176
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\SyntaxHighlighter\styles\shThemeVS.css", "PostCSS", 0, 0, 133, 0, 44, 32, 209
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\index.html", "HTML", 15, 0, 0, 0, 0, 1, 16
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\chm_msdn2019.css", "PostCSS", 0, 0, 86, 0, 12, 44, 142
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\chm_msdn2019.js", "JavaScript", 0, 604, 0, 0, 221, 145, 970
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\msdn2019.css", "PostCSS", 0, 0, 785, 0, 60, 214, 1059
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\msdn2019.js", "JavaScript", 0, 772, 0, 0, 262, 187, 1221
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\search.js", "JavaScript", 0, 237, 0, 0, 122, 49, 408
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\toc.css", "PostCSS", 0, 0, 130, 0, 20, 31, 181
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\msdn2019\toc.js", "JavaScript", 0, 286, 0, 0, 103, 81, 470
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--.html", "HTML", 73, 0, 0, 0, 7, 13, 93
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_0.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_1.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_10.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_100.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_101.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_102.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_103.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_104.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_105.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_106.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_107.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_108.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_109.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_11.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_110.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_111.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_112.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_113.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_114.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_115.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_116.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_117.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_118.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_119.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_12.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_120.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_121.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_122.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_123.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_124.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_125.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_126.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_127.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_128.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_129.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_13.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
