"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "PostCSS", "Markdown", "XML", "Python", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\angular\README.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 0, 24, 60
"c:\Users\gonca\Desktop\Gofish-Web\angular\angular.json", "JSON", 0, 170, 0, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 50, 1, 21, 72
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\forum_page.py", "Python", 0, 0, 0, 0, 0, 0, 0, 68, 0, 21, 89
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\map_page.py", "Python", 0, 0, 0, 0, 0, 0, 0, 223, 1, 54, 278
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\signin_page.py", "Python", 0, 0, 0, 0, 0, 0, 0, 31, 0, 10, 41
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_catch_pin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 39, 0, 20, 59
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_comment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 21, 0, 11, 32
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_delete.py", "Python", 0, 0, 0, 0, 0, 0, 0, 18, 0, 12, 30
"c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_report.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 0, 13, 43
